Year,State,Votes_Cast
2014,Alabama,1191274
2014,Alaska,285431
2014,Arizona,1537671
2014,Arkansas,852642
2014,California,7513972
2014,Colorado,2080071
2014,Connecticut,1096556
2014,Delaware,238110
2014,District of Columbia,177176
2014,Florida,6026802
2014,Georgia,2596947
2014,Hawaii,369554
2014,Idaho,445307
2014,Illinois,3680417
2014,Indiana,1387622
2014,Iowa,1142284
2014,Kansas,887023
2014,Kentucky,1459409
2014,Louisiana,1503975
2014,Maine,616996
2014,Maryland,1745104
2014,Massachusetts,2186789
2014,Michigan,3188956
2014,Minnesota,1992613
2014,Mississippi,
2014,Missouri,1509025
2014,Montana,373831
2014,Nebraska,552115
2014,Nevada,552546
2014,New Hampshire,495565
2014,New Jersey,1955042
2014,New Mexico,
2014,New York,3930310
2014,North Carolina,2939767
2014,North Dakota,255128
2014,Ohio,3149876
2014,Oklahoma,825607
2014,Oregon,1541782
2014,Pennsylvania,3535576
2014,Rhode Island,329212
2014,South Carolina,1261611
2014,South Dakota,282291
2014,Tennessee,1430117
2014,Texas,
2014,Utah,577973
2014,Vermont,202445
2014,Virginia,2194346
2014,Washington,2123901
2014,West Virginia,462864
2014,Wisconsin,2422248
2014,Wyoming,171153
2012,Alabama,
2012,Alaska,301694
2012,Arizona,2323579
2012,Arkansas,1078548
2012,California,13202158
2012,Colorado,2596173
2012,Connecticut,1560640
2012,Delaware,
2012,District of Columbia,294254
2012,Florida,8538264
2012,Georgia,3919355
2012,Hawaii,437159
2012,Idaho,666290
2012,Illinois,5279752
2012,Indiana,2663368
2012,Iowa,1589951
2012,Kansas,1182771
2012,Kentucky,1815843
2012,Louisiana,2014548
2012,Maine,724758
2012,Maryland,2734062
2012,Massachusetts,3184196
2012,Michigan,4780701
2012,Minnesota,2950780
2012,Mississippi,
2012,Missouri,
2012,Montana,491966
2012,Nebraska,804245
2012,Nevada,1016664
2012,New Hampshire,718700
2012,New Jersey,3683638
2012,New Mexico,786522
2012,New York,7128852
2012,North Carolina,4542488
